evidence_1,evidence_2,evidence_3,evidence_4,evidence_5,evidence_6,evidence_7,evidence_8,evidence_9,evidence_10,evidence_11,evidence_12
9.95E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.99E-01,9.99E-01,9.99E-01,9.91E-01,4.42E-01,1.20E-01,7.77E-02,4.27E-02,2.30E-02,3.38E-02,1.11E-01,3.44E-01
2.06E-02,8.10E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
1.00E+00,9.99E-01,1.00E+00,1.00E+00,1.00E+00,9.99E-01,9.95E-01,9.52E-01,7.59E-01,6.21E-01,3.35E-01,1.09E-01
9.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
1.42E-07,3.26E-04,1.63E-01,8.85E-01,9.62E-01,9.88E-01,9.98E-01,9.99E-01,9.99E-01,9.79E-01,7.68E-01,4.55E-01
7.65E-01,5.78E-01,1.53E-01,5.53E-03,3.07E-03,3.47E-03,1.30E-02,6.35E-02,7.18E-02,2.86E-02,5.59E-03,1.35E-03
1.76E-01,3.35E-01,4.39E-02,1.76E-03,1.72E-04,9.88E-06,1.62E-08,1.22E-10,8.91E-13,4.13E-14,2.21E-14,1.88E-14
1.00E+00,1.00E+00,8.01E-01,3.25E-02,4.23E-05,1.11E-08,2.13E-12,2.61E-15,1.57E-17,2.37E-19,2.12E-21,1.38E-23
3.54E-04,3.12E-03,4.04E-02,4.05E-01,3.83E-01,1.64E-01,4.59E-02,1.52E-02,3.00E-03,6.04E-04,8.21E-05,3.51E-05
9.93E-01,3.86E-01,7.78E-03,1.04E-04,8.21E-05,8.18E-05,5.60E-04,4.90E-02,3.68E-01,5.04E-01,4.80E-01,3.43E-01
8.74E-01,9.56E-01,9.75E-01,9.13E-01,3.52E-01,3.57E-02,7.91E-03,3.60E-03,1.18E-03,2.41E-04,3.72E-05,3.56E-06
1.85E-01,7.89E-01,9.73E-01,7.73E-01,8.81E-02,2.45E-03,7.68E-04,2.97E-03,3.91E-01,9.86E-01,1.00E+00,1.00E+00
1.88E-02,7.42E-02,1.85E-02,2.27E-02,2.81E-03,3.14E-05,3.84E-08,3.78E-11,3.48E-13,1.38E-15,1.77E-18,1.74E-21
7.61E-16,3.54E-12,7.40E-09,5.58E-07,2.25E-05,6.27E-05,2.43E-05,2.78E-06,5.77E-07,7.93E-08,3.40E-08,1.21E-08
7.19E-01,6.89E-01,1.28E-01,4.78E-02,5.15E-03,1.88E-04,3.10E-05,4.19E-06,2.89E-06,1.23E-05,6.13E-05,5.15E-04
1.45E-02,9.66E-03,7.12E-04,3.72E-07,1.06E-10,6.20E-14,4.02E-16,4.44E-17,7.91E-17,1.29E-15,3.98E-14,2.27E-12
7.44E-01,9.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.39E-01,1.33E-01,2.38E-04,3.38E-07,6.51E-10,3.69E-12
